jockey,raceDist,track,surface,trackCondition,raceType,purse,claimPrice,adamSpeedInMPH
DAVIS DYLAN,1830,AQU,d,FT,A,67000,NA,35.84049998259113
ALVARADO JUNIOR,1760,AQU,D,FT,A,67000,NA,36.42618638065365
ALVARADO JUNIOR,1540,BEL,D,MY,S,75000,NA,37.80151206048242
ALVARADO JUNIOR,1430,BEL,D,GD,S,75000,NA,37.673879443585776
SAEZ LUIS,1320,KEE,D,MY,A,72000,NA,37.741123846798985
SAEZ LUIS,1320,GP,D,FT,S,46000,NA,38.18413237165889
JUAREZ NIK,1210,GP,D,SY,S,46000,NA,37.56260434056761
CLAWSON KATIE,1320,CD,D,FT,S,58000,NA,37.88941902890822
ORTIZ JOSE L,1540,KEE,D,FT,S,60000,NA,37.14622641509435
ORTIZ JOSE L,1320,SAR,D,FT,S,83000,NA,37.96934327098862
ORTIZ JOSE L,1320,SAR,D,FT,S,83000,NA,37.7939529675252
VELAZQUEZ J R,1760,CD,D,WF,G3,250000,NA,37.20161206985636
VELAZQUEZ J R,1870,TAM,D,FT,G2,350000,NA,36.63442199023082
VELAZQUEZ J R,1540,GP,D,FT,G2,200000,NA,37.70648790998324
CASTELLANO J J,1760,GP,D,FT,N,100000,NA,36.915504511895
VELAZQUEZ J R,1320,GP,D,SY,N,75000,NA,38.20574501202774
ZAYAS EDGARD J,1320,GPW,D,FT,AO,34000,NA,38.374076179647524
ZAYAS EDGARD J,1760,GP,T,TF,N,75000,NA,35.93890386343217
LEBRON VICTOR,1760,MTH,D,FT,N,100000,NA,36.16999899527781
VELAZQUEZ J R,1430,SAR,D,FT,G2,200000,NA,36.65872916405564
BRAVO J,1210,MTH,D,FT,S,36000,NA,38.54539791309765
CARMOUCHE K,1980,BEL,D,SY,G3,200000,NA,34.90476600879083
JUAREZ NIK,1870,KEE,D,FT,G3,200000,NA,35.94249201277955
JUAREZ NIK,1980,GP,D,FT,AO,48000,NA,35.19596767185192
JUAREZ NIK,1870,GP,D,FT,AO,48000,NA,36.38352515932655
JUAREZ NIK,1540,GP,D,FT,AO,46000,NA,37.43760399334443
SANTANA RICARDO JR,1760,CD,D,FT,AO,60000,NA,36.551934206518425
ORTIZ IRAD JR,1760,BEL,D,FT,G1,500000,NA,36.813580120666735
SAEZ LUIS,1760,BEL,D,FT,S,75000,NA,37.105751391465674
SANTANA RICARDO JR,1540,SAR,D,FT,S,83000,NA,37.24725079815538
ALVARADO JUNIOR,1210,SAR,D,FT,S,83000,NA,37.36413043478261
CASTELLANO J J,1540,CD,D,WF,S,62000,NA,37.41981468282252
ROSARIO JOEL,1870,PIM,D,MY,AO,52000,NA,36.242183058555995
ARROYO ANGEL S,1760,BEL,D,GD,AO,77000,NA,37.01799485861183
PENNINGTON F,1760,PRX,D,GD,S,46000,NA,36.36363636363637
PENNINGTON F,1830,PRX,D,FT,S,50000,NA,35.416612907387815
PENNINGTON F,1320,PRX,D,FT,S,50000,NA,38.532895675752826
PENNINGTON F,1430,PRX,D,SY,S,50000,NA,37.51924063622371
GEROUX FLORENT,1760,CD,D,WF,G3,250000,NA,37.14403631861329
GEROUX FLORENT,1980,FG,D,FT,G2,1000000,NA,36.74469243331519
GEROUX FLORENT,1870,FG,D,FT,G2,400000,NA,36.88168932600521
GEROUX FLORENT,1830,FG,D,FT,S,41000,NA,36.52241016861956
SANTANA RICARDO JR,1540,CD,D,FT,S,58000,NA,37.43760399334443
SANTANA RICARDO JR,1540,KEE,D,FT,S,60000,NA,37.70648790998324
FRANCO MANUEL,1760,BEL,D,GD,AO,77000,NA,37.174721189591075
LOPEZ PASCACIO,1870,TAM,D,FT,G2,350000,NA,36.7682399307892
GAFFALIONE TYLER,1430,GP,D,FT,AO,48000,NA,37.712738525012895
LOPEZ PASCACIO,1540,GP,D,FT,AO,46000,NA,37.46877601998335
LEZCANO JOSE,1980,AQU,D,FT,G2,300000,NA,35.83119525789614
LEPAROUX JULIEN R,1870,KEE,D,GD,A,62000,NA,36.01016757672754
LEZCANO JOSE,1320,BEL,D,MY,S,75000,NA,37.66741071428571
CASTELLANO J J,1320,SAR,D,FT,S,83000,NA,37.453183520599254
GARCIA MARTIN,1870,SA,D,FT,AO,56000,NA,36.72940272709814
PRAT FLAVIEN,1870,KEE,D,FT,G3,200000,NA,36.40430189397544
GARCIA MARTIN,1870,SA,D,FT,S,54000,NA,36.72940272709814
GARCIA MARTIN,1760,SA,D,FT,S,54000,NA,37.692388231598784
CASTELLANO J J,1760,CD,D,WF,G3,250000,NA,37.317300715248265
CASTELLANO J J,1540,AQU,D,FT,G3,250000,NA,37.21204961606615
VARGAS JORGE A JR,1540,PRX,D,FT,AO,51000,NA,37.06754530477759
CASTELLANO J J,1980,AQU,D,FT,G2,300000,NA,35.88198812793479
CASTELLANO J J,1760,BEL,D,FT,S,75000,NA,37.321169396641096
CASTELLANO J J,1540,SAR,D,FT,S,83000,NA,37.12871287128713
JUAREZ NIK,1210,MTH,D,SY,S,45000,NA,37.79202931745304
ESQUIVEL EMMANUEL,1830,PRX,D,FT,AO,47000,NA,36.74829980543706
VELAZQUEZ J R,1760,AQU,D,FT,S,60000,NA,36.794766966475876
BISONO J,1830,PRX,D,FT,S,50000,NA,35.56467285683437
ORTIZ JOSE L,1870,AQU,d,MY,S,60000,NA,34.703320631464344
VELAZQUEZ J R,1760,AQU,D,FT,S,60000,NA,36.01440576230493
JUAREZ NIK,1980,KEE,D,FT,A,72000,NA,35.56375131717598
JUAREZ NIK,1870,GP,D,FT,G2,350000,NA,36.29721009679256
JUAREZ NIK,1760,GP,D,FT,N,100000,NA,36.272040302267
COURT J K,1870,CD,D,FT,G2,200000,NA,36.14970229656932
SANTANA RICARDO JR,1760,CD,D,FT,N,80000,NA,36.89280590284895
SAEZ LUIS,1870,KEE,D,FT,G1,500000,NA,35.74766355140187
CEDENO CAROL,1830,DEL,D,FT,S,34000,NA,35.73784435919246
SANTANA RICARDO JR,1540,SAR,D,SY,S,83000,NA,36.05769230769231
ROSARIO JOEL,1760,BEL,D,SY,N,200000,NA,36.858810279512646
FRANCO MANUEL,1760,AQU,D,FT,AO,69000,NA,37.34052484182139
BRAVO J,1980,AQU,D,FT,G3,150000,NA,36.280569739317386
ROSARIO JOEL,1980,BEL,D,SY,N,300000,NA,35.94249201277955
ROSARIO JOEL,1870,BEL,D,MY,AO,65000,NA,37.58844339622641
ROSARIO JOEL,2200,SAR,D,FT,G1,1250000,NA,36.77672441974501
ROSARIO JOEL,1980,SAR,D,FT,G2,600000,NA,37.30312240950539
ROSARIO JOEL,2640,BEL,D,FT,G1,1500000,NA,36.21487492455233
ROSARIO JOEL,1980,BEL,D,FT,G2,200000,NA,37.76223776223776
KARAMANOS H A,1980,LRL,D,GD,N,100000,NA,35.74265289912629
GEROUX FLORENT,1760,CD,D,SY,AO,82000,NA,36.69350728773826
CENTENO D E,1870,TAM,D,FT,N,100000,NA,37.121506211180126
GEROUX FLORENT,2090,PIM,D,FT,G3,300000,NA,36.582235153174736
LOPEZ PASCACIO,2640,KEE,T,FM,G2,250000,NA,35.044454539554806
GEROUX FLORENT,1870,OP,D,FT,G3,350000,NA,36.65899942495687
*CALVENTE GUSTAVO EMILIAN,2187,*SI,T,FT,G1,140800,NA,35.99170561516688
*RICARDO JORGE ANTONIO,2297,*AR,D,FT,G1,113800,NA,36.04733075732002
*RICARDO JORGE ANTONIO,2625,*SI,T,FT,G1,243246,NA,36.2522326771871
*FERNANDES GONCALVES FRANC,2625,*LP,D,HY,G1,179775,NA,35.384988676803616
NA,1750,*SI,T,HY,N,10745,NA,36.71328671328671
FRANCO MANUEL,1980,CT,D,SY,G2,1250000,NA,35.56999824345688
FRANCO MANUEL,1980,AQU,d,FT,N,125000,NA,36.75469643343316
FRANCO MANUEL,1830,AQU,d,FT,N,125000,NA,36.53666977239452
FRANCO MANUEL,1980,AQU,d,GD,N,125000,NA,35.47341683454498
FRANCO MANUEL,1980,AQU,D,FT,G3,150000,NA,36.32938643702906
BRAVO J,1980,PRX,D,FT,G2,1250000,NA,35.01945525291829
JUAREZ NIK,1980,MTH,D,SY,G1,1000000,NA,37.08451606995697
FRANCO MANUEL,1870,AQU,d,FT,G3,400000,NA,35.966149506346966
FRANCO MANUEL,1870,AQU,d,FT,G3,250000,NA,35.751004766800634
ORTIZ IRAD JR,1870,DED,D,MY,G3,1000000,NA,35.90874953060458
VELAZQUEZ J R,2200,AQU,D,FT,G3,150000,NA,36.86409437208159
VELAZQUEZ J R,1980,AQU,d,FT,N,125000,NA,36.681460012680006
FRANCO MANUEL,1870,AQU,d,FT,N,100000,NA,36.83906385437735
FRANCO MANUEL,1870,AQU,d,FT,N,100000,NA,36.28687980267527
FRANCO MANUEL,1830,AQU,d,FT,AO,78000,NA,36.47258908878319
FRANCO MANUEL,1830,AQU,d,FT,AO,69000,NA,36.91136789450565
FRANCO MANUEL,1830,AQU,d,FT,A,67000,NA,36.19748397816283
FRANCO MANUEL,1870,AQU,d,MY,AO,59000,NA,36.28687980267527
FRANCO MANUEL,1760,AQU,D,FT,A,57000,NA,37.441497659906396
FRANCO MANUEL,1760,AQU,D,FT,A,57000,NA,37.174721189591075
ORTIZ IRAD JR,2420,BEL,D,FT,N,100000,NA,36.702009342329646
ORTIZ IRAD JR,2200,AQU,D,FT,G3,150000,NA,36.84296708694941
*CISTERNAS RAFAEL F,1968,*HC,D,FT,N,12661,NA,35.96082316825572
*CISTERNAS RAFAEL F,1859,*CP,D,FT,N,11351,NA,36.84950092063185
*CISTERNAS RAFAEL F,1750,*CP,D,FT,N,10255,NA,35.17289431606029
*CISTERNAS RAFAEL F,1859,*CP,D,FT,N,11796,NA,35.85910976989815
*BERRIOS HECTOR I,1968,*CP,T,FT,N,8839,NA,37.87950075707674
*CISTERNAS RAFAEL F,1968,*CP,T,HY,N,10208,NA,36.190367216169605
*LAPRIDA JEREMY EUGENIO,1750,*CP,T,TF,N,8640,NA,37.52537430071763
*LAPRIDA JEREMY EUGENIO,2078,*VP,T,FT,N,16890,NA,37.60798571451553
ARROYO ANGEL S,2420,BEL,D,FT,N,100000,NA,36.25842367418693
ARROYO ANGEL S,2200,AQU,D,FT,G3,150000,NA,36.21730382293762
ARROYO ANGEL S,1980,AQU,d,FT,N,125000,NA,36.71804170444243
ARROYO ANGEL S,1760,AQU,d,FT,AO,78000,NA,36.33060853769301
MARAGH RAJIV,1830,AQU,d,FT,N,125000,NA,36.162513942438586
ORTIZ JOSE L,1830,AQU,d,FT,AO,78000,NA,36.486809807796256
CASTELLANO J J,1760,AQU,D,FT,AO,78000,NA,36.42618638065365
CASTELLANO J J,1870,BEL,D,FT,AO,90000,NA,37.25165562913907
CASTELLANO J J,1870,BEL,D,FT,AO,80000,NA,37.57736516357206
LEZCANO JOSE,1980,SAR,D,FT,AO,90000,NA,36.9424427620177
GAFFALIONE TYLER,1980,CT,D,SY,G2,1250000,NA,35.79952267303103
GALLARDO ANTONIO A,1760,GP,D,FT,G3,100000,NA,37.132542547705
GALLARDO ANTONIO A,1980,GP,D,FT,G1,12000000,NA,37.23453158039901
GALLARDO ANTONIO A,1980,AQU,d,GD,N,125000,NA,35.98081023454158
GALLARDO ANTONIO A,1760,AQU,D,FT,G1,500000,NA,37.44539213646765
SPIETH S,2200,SA,D,FT,G1,6000000,NA,36.31961259079903
PENNINGTON F,1870,PRX,D,FT,N,150000,NA,36.32823629974356
MEJIAS RICARDO,2200,DMR,D,FT,G1,1000000,NA,36.425449247207375
MEJIAS RICARDO,1830,TDN,D,SY,A,24500,NA,35.9264979190116
LOPEZ PASCACIO,1870,GP,T,FM,N,75000,NA,37.91633624107851
ROCCO J S JR,1870,CD,D,SY,G2,400000,NA,35.86161635102194
KENNEDY TY,1980,CD,T,TF,G3,100000,NA,35.85022572364345
BRAVO J,2640,KEE,T,TF,G3,100000,NA,34.438775510204074
LANERIE C J,2640,KD,T,YL,G3,600000,NA,34.504792332268366
LANERIE C J,1870,CD,T,FM,G2,200000,NA,37.56260434056761
MENA M,1760,CD,T,TF,N,65000,NA,35.7355568790947
*SMULLEN P J,2354,DUD,D,FT,A,21157,NA,35.77000222866057
*SOUMILLON C,2625,STC,T,SF,N,71290,NA,34.95649857954545
*SOUMILLON,2625,VHY,T,SF,N,73884,NA,33.705701078582436
*SOUMILLON C,2625,STC,T,SF,A,77799,NA,34.7056957004601
BLANC B,1540,CD,D,SY,G2,200000,NA,37.36654804270462
BLANC B,1430,SA,D,FT,N,75000,NA,38.52739726027398
STEVENS G L,1870,LRC,D,FT,G1,300000,NA,37.06036236798761
GARCIA MARTIN,1870,SA,D,FT,G1,2000000,NA,35.89527027027027
GARCIA MARTIN,1540,DMR,D,FT,G1,300000,NA,37.85147801009373
SMITH M E,1210,DMR,D,FT,S,63000,NA,38.87841658812441
LOPEZ PASCACIO,1540,CD,D,SY,G2,200000,NA,36.40355945914712
LOPEZ PASCACIO,1760,GP,D,FT,AO,48000,NA,37.823072073965115
LOPEZ PASCACIO,1760,GP,D,FT,S,38000,NA,35.835158271949034
SMITH M E,1980,CD,D,SY,G1,1000000,NA,36.28382010392403
SMITH M E,1870,SA,D,FT,G1,400000,NA,36.6800920598389
TALAMO JOSEPH,1870,SA,D,FT,G3,100000,NA,36.977958236658935
TALAMO JOSEPH,1870,LRC,D,FT,G1,300000,NA,37.40831295843521
TALAMO JOSEPH,1540,DMR,D,FT,A,59000,NA,37.92439200577896
TALAMO JOSEPH,1760,SA,D,FT,S,52000,NA,36.37465898757199
TALAMO JOSEPH,1320,DMR,D,FT,S,63000,NA,37.55737932953123
COLON LUIS H,1870,BTP,T,FM,N,75000,NA,37.233524773678575
COLON LUIS H,1320,MVR,D,FT,AO,29700,NA,36.86006825938567
COLON LUIS H,1320,MVR,D,FT,N,75000,NA,35.695399259650976
COLON LUIS H,1320,MVR,D,FT,A,27100,NA,36.35873956369512
VAN DYKE DRAYDEN,1870,SA,D,FT,G1,300000,NA,36.0135580453818
PARKER D L,1320,BTP,D,FT,N,75000,NA,37.453183520599254
COLON LUIS H,1100,TDN,D,FT,S,29000,NA,37.612838515546635
COLON LUIS H,1210,TDN,D,FT,N,75000,NA,36.163062536528344
CASTELLANO J J,1540,CD,D,SY,G2,200000,NA,37.37541528239202
SANTANA RICARDO JR,1870,OP,D,FT,G3,400000,NA,36.64846220178212
FRANKO-ANGELES GEOVANNI,1870,OP,D,FT,G3,200000,NA,37.22265472946672
ROCCO J S JR,1760,OP,D,FT,N,125000,NA,36.13006824568446
ALBARADO R J,1760,CD,D,FT,AO,60000,NA,37.55868544600939
ALBARADO R J,1870,KEE,D,FT,G1,400000,NA,36.06789250353607
FELIX J E,1540,AP,D,FT,N,75000,NA,36.662011173184354
ALBARADO R J,1210,IND,D,FT,S,32000,NA,38.32455868689997
SAEZ LUIS,1980,CD,D,SY,G1,1000000,NA,35.83119525789614
SAEZ LUIS,1870,GP,D,FT,G2,250000,NA,36.94224454317171
SAEZ LUIS,1540,GP,D,FT,G2,200000,NA,37.33997155049787
CINTRON ALEX,1320,LRL,D,FT,N,100000,NA,37.48438150770512
GEROUX FLORENT,1540,KEE,D,FT,S,60000,NA,37.602960487047866
CINTRON ALEX,1760,LRL,D,FT,S,40000,NA,35.96044351213665
GEROUX FLORENT,1430,SAR,D,GD,S,83000,NA,36.973833902161545
CINTRON ALEX,1100,LRL,D,FT,S,40000,NA,37.07976268951879
CASTELLANO J J,1540,KEE,D,FT,G3,150000,NA,35.88925601002621
CASTELLANO J J,1870,SA,D,FT,G1,2000000,NA,35.764375876577844
CASTELLANO J J,1540,SAR,D,FT,G1,350000,NA,37.41981468282252
VELAZQUEZ J R,1320,SAR,D,FT,G3,150000,NA,38.08717731696995
LOPEZ PASCACIO,1100,MTH,D,FT,S,36000,NA,37.94266441821247
ROSARIO JOEL,1980,CD,D,SY,G1,1000000,NA,36.0898235608626
ROSARIO JOEL,1870,GP,D,FT,G2,250000,NA,37.16839957244194
ROSARIO JOEL,1540,GP,D,FT,S,46000,NA,37.585013721512944
LEPAROUX JULIEN R,1430,GP,D,FT,S,46000,NA,38.1008206330598
ARROYO ANGEL S,1760,BEL,D,SY,G2,250000,NA,36.345280161534575
ARROYO ANGEL S,1540,AQU,D,FT,G3,150000,NA,38.29787234042553
ARROYO ANGEL S,1830,AQU,d,FT,N,100000,NA,35.632382847994464
ARROYO ANGEL S,1760,AQU,D,FT,G3,250000,NA,36.708473539308656
ARROYO ANGEL S,1540,AQU,D,FT,N,125000,NA,37.41981468282252
VELAZQUEZ J R,1760,BEL,D,FT,AO,65000,NA,37.767519932857745
TORRES JOMAR,1980,SAR,D,FT,N,200000,NA,36.07375077937117
TORRES JOMAR,1760,SAR,t,FM,N,100000,NA,36.65987780040734
TORRES JOMAR,1760,BEL,D,FT,A,75000,NA,36.62630989927765
TORRES JOMAR,1540,BEL,D,SY,S,60000,NA,37.41981468282252
ROSARIO JOEL,1870,CD,D,SY,G1,300000,NA,36.32823629974356
ROSARIO JOEL,1540,KEE,D,FT,G1,300000,NA,37.46431969552807
ORTIZ JOSE L,1980,KEE,D,FT,G1,500000,NA,36.476627938395026
SANTANA RICARDO JR,1980,SAR,D,FT,G1,750000,NA,37.12530937757815
SANTANA RICARDO JR,2200,DEL,D,FT,G1,750000,NA,36.5913156610831
SANTANA RICARDO JR,1980,CD,D,FT,G2,200000,NA,37.34784212467724
GEROUX FLORENT,1760,CD,D,FT,AO,72000,NA,37.44539213646765
GEROUX FLORENT,1430,KEE,D,FT,AO,64000,NA,38.48177871332719
LANERIE C J,1540,KEE,D,FT,G2,250000,NA,37.643403441682594
ROSARIO JOEL,1320,SAR,D,FT,G2,300000,NA,38.41229193341869
ORTIZ JOSE L,1870,CD,D,SY,G1,300000,NA,36.071293851376836
BRIDGMOHAN S X,1870,KEE,D,FT,AO,74000,62500,36.41816623821765
PEDROZA MARCELINO,1870,FG,T,TF,N,50000,NA,37.43394010569583
PEDROZA MARCELINO,1830,FG,D,FT,AO,45000,40000,36.10670221068601
BRIDGMOHAN S X,1760,FG,D,MY,AO,42000,40000,36.40040444893832
BRIDGMOHAN S X,1870,FG,T,FM,AO,42000,40000,35.79114812388884
BRIDGMOHAN S X,1870,KEE,T,FM,A,66000,NA,36.0542935243661
LEBRON VICTOR,1800,TAM,D,FT,AO,25500,NA,36.22410647204036
LEBRON VICTOR,1800,TAM,D,FT,AO,24000,NA,36.51872824656003
LEBRON VICTOR,1800,TAM,D,FT,AO,24000,NA,35.83626807298211
LOPEZ PASCACIO,1760,BEL,D,SY,G2,250000,NA,36.16636528028933
LOPEZ PASCACIO,1980,AQU,D,FT,G3,200000,NA,36.05769230769231
LOPEZ PASCACIO,1870,GP,D,FT,G2,200000,NA,35.81460674157304
LOPEZ PASCACIO,1980,AQU,D,FT,G3,250000,NA,36.19626418804183
BRAVO J,1870,KEE,D,FT,S,60000,NA,36.283437677859986
CASTELLANO J J,1980,SAR,D,FT,S,83000,NA,35.98081023454158
ORTIZ JOSE L,1870,BEL,D,FT,S,75000,NA,36.95295140566128
CASTELLANO J J,1760,BEL,D,SY,S,75000,NA,36.919290329197004
LOPEZ PASCACIO,1870,KEE,D,FT,S,60000,NA,36.40776699029126
LOPEZ PASCACIO,1540,GP,D,FT,S,50000,NA,37.473233404710925
SMITH M E,1980,SA,D,FT,G1,2000000,NA,37.08451606995697
SMITH M E,1870,PRX,D,FT,G1,1000000,NA,36.77177465871948
SMITH M E,2200,SAR,D,FT,G1,600000,NA,36.58536585365854
SMITH M E,1980,SAR,D,FT,G1,500000,NA,36.96604600219059
SMITH M E,1870,SA,D,FT,G2,200000,NA,37.26980415083309
SMITH M E,1870,SA,D,SY,G1,400000,NA,36.72940272709814
SMITH M E,1870,SA,D,FT,G3,100000,NA,37.12871287128713
SMITH M E,1760,SA,D,FT,G2,300000,NA,37.174721189591075
SMITH M E,1870,KEE,D,FT,G1,2000000,NA,37.233524773678575
SMITH M E,1870,SA,D,FT,G1,300000,NA,36.853261393197805
ROSARIO JOEL,1760,BEL,D,SY,G2,250000,NA,36.315948754161205
DECARLO C P,1760,AQU,T,FM,N,100000,NA,37.16704521990501
ROSARIO JOEL,1760,AQU,D,FT,G3,250000,NA,36.57049979683055
ROSARIO JOEL,1870,BEL,D,SY,N,250000,NA,37.099903006789525
ROSARIO JOEL,1430,PID,D,FT,G2,400000,NA,38.2402928487384
ALVARADO JUNIOR,1320,SAR,D,FT,G2,200000,NA,36.65490089600869
ALVARADO JUNIOR,1540,BEL,D,FT,G3,150000,NA,38.25601165897498
ALVARADO JUNIOR,1760,BEL,D,MY,N,200000,NA,37.1785603635237
ALVARADO JUNIOR,1540,AQU,D,FT,G3,200000,NA,38.094086346595724
LEZCANO JOSE,1540,GP,D,FT,G2,200000,NA,37.09810387469085
LEPAROUX JULIEN R,1540,CD,D,SY,G1,300000,NA,37.576046761302635
LEPAROUX JULIEN R,1540,SA,D,FT,G1,1000000,NA,37.810586964350016
LEPAROUX JULIEN R,1870,PRX,D,FT,G1,1000000,NA,36.47025171624714
ROSARIO JOEL,1540,SAR,D,FT,G1,500000,NA,38.48973607038123
LEPAROUX JULIEN R,1980,SAR,D,FT,G1,500000,NA,36.7047308319739
LEPAROUX JULIEN R,1760,BEL,D,FT,G1,700000,NA,37.9067073812783
LEPAROUX JULIEN R,1540,CD,D,FT,G2,200000,NA,38.53682407633961
LEPAROUX JULIEN R,1870,KEE,D,FT,G1,500000,NA,36.80007696748123
LEPAROUX JULIEN R,1870,CD,D,SY,G2,200000,NA,36.283437677859986
LEPAROUX JULIEN R,1430,KEE,D,FT,S,56000,NA,38.90662410215482
CASTELLANO J J,1320,BEL,t,FM,AO,90000,NA,39.647577092511014
CASTELLANO J J,1210,KEE,T,YL,A,74000,NA,39.13662239089184
ORTIZ JOSE L,1320,BEL,t,FM,AO,80000,NA,39.496781743709775
ORTIZ JOSE L,1320,SAR,D,FT,A,85000,NA,38.34682573498083
SAEZ LUIS,1320,AQU,D,FT,A,77000,NA,37.31859018659295
LEZCANO JOSE,1540,SAR,D,FT,G1,500000,NA,36.69190448456611
LEZCANO JOSE,1320,SAR,D,FT,A,85000,NA,38.521900413753734
LEZCANO JOSE,1430,BEL,D,FT,S,75000,NA,37.712738525012895
ORTIZ IRAD JR,1540,BEL,T,TF,N,150000,NA,38.130976879312435
ORTIZ IRAD JR,1320,BEL,T,FM,N,150000,NA,40.07718569096036
ORTIZ JOSE L,1210,SAR,T,FM,N,100000,NA,40.62038404726736
ALVARADO JUNIOR,1540,BEL,T,FM,AO,96000,NA,39.15962207856788
ALVARADO JUNIOR,1320,BEL,T,FM,G3,300000,NA,40.425213355292705
ALVARADO JUNIOR,1320,BEL,t,FM,A,77000,NA,39.887723445117444
LEZCANO JOSE,1870,AQU,T,FM,AO,67000,NA,36.518999427152956
ALVARADO JUNIOR,1540,BEL,T,FM,AO,65000,NA,38.58402743753063
ALVARADO JUNIOR,1320,BEL,D,MY,N,100000,NA,36.27082213863515
ORTIZ IRAD JR,1210,SAR,T,FM,N,100000,NA,40.13296578563321
ORTIZ JOSE L,1100,CD,T,TF,G3,150000,NA,38.26530612244898
CARMOUCHE K,1430,SA,T,FM,G1,1000000,NA,40.93198992443325
CARMOUCHE K,1320,BEL,T,FM,N,150000,NA,40.23845007451565
CARMOUCHE K,1100,PRX,T,YL,G3,200000,NA,39.23278116826504
ORTIZ JOSE L,1320,BEL,T,FM,G3,300000,NA,40.44337926902336
VELAZQUEZ J R,1100,GP,T,FM,N,75000,NA,38.65979381443299
