precinct,date,month_year,daily_tickets
1,2015-09-03,09-2015,64
1,2015-09-04,09-2015,75
1,2015-09-05,09-2015,89
1,2015-09-06,09-2015,141
1,2015-09-07,09-2015,47
1,2015-09-08,09-2015,104
1,2015-09-09,09-2015,55
1,2015-09-10,09-2015,51
1,2015-09-11,09-2015,38
1,2015-09-12,09-2015,66
1,2015-09-13,09-2015,93
1,2015-09-14,09-2015,90
1,2015-09-15,09-2015,117
1,2015-09-16,09-2015,93
1,2015-09-17,09-2015,108
1,2015-09-18,09-2015,78
1,2015-09-19,09-2015,151
1,2015-09-20,09-2015,84
1,2015-09-21,09-2015,185
1,2015-09-22,09-2015,141
1,2015-09-23,09-2015,73
1,2015-09-24,09-2015,25
1,2015-09-25,09-2015,72
1,2015-09-26,09-2015,155
1,2015-09-27,09-2015,93
1,2015-09-28,09-2015,76
1,2015-09-29,09-2015,63
1,2015-09-30,09-2015,107
1,2015-10-01,10-2015,74
1,2015-10-02,10-2015,24
1,2015-10-03,10-2015,42
1,2015-10-04,10-2015,57
1,2015-10-05,10-2015,115
1,2015-10-06,10-2015,93
1,2015-10-07,10-2015,112
1,2015-10-08,10-2015,99
1,2015-10-09,10-2015,49
1,2015-10-10,10-2015,122
1,2015-10-11,10-2015,36
1,2015-10-12,10-2015,127
1,2015-10-13,10-2015,99
1,2015-10-14,10-2015,112
1,2015-10-15,10-2015,79
1,2015-10-16,10-2015,57
1,2015-10-17,10-2015,115
1,2015-10-18,10-2015,48
1,2015-10-19,10-2015,83
1,2015-10-20,10-2015,121
1,2015-10-21,10-2015,134
1,2015-10-22,10-2015,118
1,2015-10-23,10-2015,48
1,2015-10-24,10-2015,42
1,2015-10-25,10-2015,95
1,2015-10-26,10-2015,119
1,2015-10-27,10-2015,78
1,2015-10-28,10-2015,35
1,2015-10-29,10-2015,79
1,2015-10-30,10-2015,68
1,2015-10-31,10-2015,101
1,2015-11-01,11-2015,63
1,2015-11-02,11-2015,85
1,2015-11-03,11-2015,31
1,2015-11-04,11-2015,61
1,2015-11-05,11-2015,28
1,2015-11-06,11-2015,29
1,2015-11-07,11-2015,72
1,2015-11-08,11-2015,74
1,2015-11-09,11-2015,29
1,2015-11-10,11-2015,56
1,2015-11-11,11-2015,87
1,2015-11-12,11-2015,103
1,2015-11-13,11-2015,58
1,2015-11-14,11-2015,55
1,2015-11-15,11-2015,75
1,2015-11-16,11-2015,96
1,2015-11-17,11-2015,85
1,2015-11-18,11-2015,44
1,2015-11-19,11-2015,45
1,2015-11-20,11-2015,74
1,2015-11-21,11-2015,86
1,2015-11-22,11-2015,63
1,2015-11-23,11-2015,100
1,2015-11-24,11-2015,173
1,2015-11-25,11-2015,92
1,2015-11-26,11-2015,76
1,2015-11-27,11-2015,104
1,2015-11-28,11-2015,136
1,2015-11-29,11-2015,52
1,2015-11-30,11-2015,125
1,2015-12-01,12-2015,39
1,2015-12-02,12-2015,70
1,2015-12-03,12-2015,92
1,2015-12-04,12-2015,61
1,2015-12-05,12-2015,33
1,2015-12-06,12-2015,45
1,2015-12-07,12-2015,63
1,2015-12-08,12-2015,72
1,2015-12-09,12-2015,87
1,2015-12-10,12-2015,62
1,2015-12-11,12-2015,70
1,2015-12-12,12-2015,81
1,2015-12-13,12-2015,22
1,2015-12-14,12-2015,85
1,2015-12-15,12-2015,84
1,2015-12-16,12-2015,91
1,2015-12-17,12-2015,40
1,2015-12-18,12-2015,78
1,2015-12-19,12-2015,41
1,2015-12-20,12-2015,39
1,2015-12-21,12-2015,91
1,2015-12-22,12-2015,77
1,2015-12-23,12-2015,39
1,2015-12-24,12-2015,74
1,2015-12-25,12-2015,18
1,2015-12-26,12-2015,34
1,2015-12-27,12-2015,30
1,2015-12-28,12-2015,91
1,2015-12-29,12-2015,67
1,2015-12-30,12-2015,83
1,2015-12-31,12-2015,33
5,2014-01-01,01-2014,37
5,2014-01-02,01-2014,21
5,2014-01-03,01-2014,6
5,2014-01-04,01-2014,16
5,2014-01-05,01-2014,39
5,2014-01-06,01-2014,34
5,2014-01-07,01-2014,43
5,2014-01-08,01-2014,63
5,2014-01-09,01-2014,58
5,2014-01-10,01-2014,37
5,2014-01-11,01-2014,48
5,2014-01-12,01-2014,71
5,2014-01-13,01-2014,78
5,2014-01-14,01-2014,55
5,2014-01-15,01-2014,58
5,2014-01-16,01-2014,47
5,2014-01-17,01-2014,78
5,2014-01-18,01-2014,146
5,2014-01-19,01-2014,133
5,2014-01-20,01-2014,69
5,2014-01-21,01-2014,19
5,2014-01-22,01-2014,19
5,2014-01-23,01-2014,48
5,2014-01-24,01-2014,54
5,2014-01-25,01-2014,58
5,2014-01-26,01-2014,53
5,2014-01-27,01-2014,47
5,2014-01-28,01-2014,85
5,2014-01-29,01-2014,53
5,2014-01-30,01-2014,98
5,2014-01-31,01-2014,44
5,2014-02-01,02-2014,53
5,2014-02-02,02-2014,53
5,2014-02-03,02-2014,29
5,2014-02-04,02-2014,53
5,2014-02-05,02-2014,14
5,2014-02-06,02-2014,42
5,2014-02-07,02-2014,33
5,2014-02-08,02-2014,62
5,2014-02-09,02-2014,84
5,2014-02-10,02-2014,37
5,2014-02-11,02-2014,62
5,2014-02-12,02-2014,63
5,2014-02-13,02-2014,9
5,2014-02-14,02-2014,24
5,2014-02-15,02-2014,43
5,2014-02-16,02-2014,51
5,2014-02-17,02-2014,66
5,2014-02-18,02-2014,39
5,2014-02-19,02-2014,41
5,2014-02-20,02-2014,51
5,2014-02-21,02-2014,48
5,2014-02-22,02-2014,86
5,2014-02-23,02-2014,82
5,2014-02-24,02-2014,66
5,2014-02-25,02-2014,87
5,2014-02-26,02-2014,61
5,2014-02-27,02-2014,126
5,2014-02-28,02-2014,78
5,2014-03-01,03-2014,69
5,2014-03-02,03-2014,61
5,2014-03-03,03-2014,81
5,2014-03-04,03-2014,86
5,2014-03-05,03-2014,74
5,2014-03-06,03-2014,94
5,2014-03-07,03-2014,61
5,2014-03-08,03-2014,60
5,2014-03-09,03-2014,50
5,2014-03-10,03-2014,59
5,2014-03-11,03-2014,74
5,2014-03-12,03-2014,49
5,2014-03-13,03-2014,53
5,2014-03-14,03-2014,62
5,2014-03-15,03-2014,51
5,2014-03-16,03-2014,43
5,2014-03-17,03-2014,59
5,2014-03-18,03-2014,82
5,2014-03-19,03-2014,73
5,2014-03-20,03-2014,68
5,2014-03-21,03-2014,55
5,2014-03-22,03-2014,56
5,2014-03-23,03-2014,103
5,2014-03-24,03-2014,72
5,2014-03-25,03-2014,45
5,2014-03-26,03-2014,48
5,2014-03-27,03-2014,70
5,2014-03-28,03-2014,36
5,2014-03-29,03-2014,34
5,2014-03-30,03-2014,39
5,2014-03-31,03-2014,44
5,2014-04-01,04-2014,47
5,2014-04-02,04-2014,83
5,2014-04-03,04-2014,60
5,2014-04-04,04-2014,54
5,2014-04-05,04-2014,44
5,2014-04-06,04-2014,87
5,2014-04-07,04-2014,51
5,2014-04-08,04-2014,74
5,2014-04-09,04-2014,74
5,2014-04-10,04-2014,63
5,2014-04-11,04-2014,38
5,2014-04-12,04-2014,68
5,2014-04-13,04-2014,81
5,2014-04-14,04-2014,71
5,2014-04-15,04-2014,51
5,2014-04-16,04-2014,75
5,2014-04-17,04-2014,44
5,2014-04-18,04-2014,24
5,2014-04-19,04-2014,63
5,2014-04-20,04-2014,56
5,2014-04-21,04-2014,74
5,2014-04-22,04-2014,59
5,2014-04-23,04-2014,89
5,2014-04-24,04-2014,118
5,2014-04-25,04-2014,100
5,2014-04-26,04-2014,87
5,2014-04-27,04-2014,76
5,2014-04-28,04-2014,85
5,2014-04-29,04-2014,114
5,2014-04-30,04-2014,34
5,2014-05-01,05-2014,65
5,2014-05-02,05-2014,86
5,2014-05-03,05-2014,96
5,2014-05-04,05-2014,137
5,2014-05-05,05-2014,85
5,2014-05-06,05-2014,69
5,2014-05-07,05-2014,48
5,2014-05-08,05-2014,38
5,2014-05-09,05-2014,56
5,2014-05-10,05-2014,75
5,2014-05-11,05-2014,82
5,2014-05-12,05-2014,82
5,2014-05-13,05-2014,82
5,2014-05-14,05-2014,49
5,2014-05-15,05-2014,63
5,2014-05-16,05-2014,80
5,2014-05-17,05-2014,91
5,2014-05-18,05-2014,70
5,2014-05-19,05-2014,62
5,2014-05-20,05-2014,90
5,2014-05-21,05-2014,76
5,2014-05-22,05-2014,28
